file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,toString/0,false,67,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,getData/0,false,57,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,getCode/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,getMsg/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,"processCheckResult/2[java.lang.String,com.xuexiang.xupdate.proxy.IUpdateProxy]",false,126,5,7,1,6,3,7,25,0,0,2,7,0,0,0,0,1,0,0,0,0,0,2,1,0,0,14,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,"onCheckError/3[java.lang.String,com.xuexiang.xupdate.proxy.IUpdateProxy,java.lang.Throwable]",false,119,3,4,1,3,1,4,5,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,onAfterCheck/0,false,91,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,onBeforeCheck/0,false,49,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,"onCheckSuccess/3[java.lang.String,java.lang.String,com.xuexiang.xupdate.proxy.IUpdateProxy]",false,102,4,5,1,4,2,5,10,0,0,3,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,24,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,noNewVersion/1[java.lang.Throwable],false,152,1,1,0,1,2,2,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\proxy\impl\DefaultUpdateChecker.java,com.xuexiang.xupdate.proxy.impl.DefaultUpdateChecker,"checkVersion/4[boolean,java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,com.xuexiang.xupdate.proxy.IUpdateProxy]",false,54,5,8,0,8,3,7,30,1,0,4,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,28,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,handleStart/0,false,406,1,1,0,1,2,2,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
