file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\tools\make-keyboard-text\src\main\java\com\android\inputmethod\keyboard\tools\StringResourceMap.java,com.android.inputmethod.keyboard.tools.StringResourceMap$StringResourceHandler,innerclass,6,6,0,6,13,3,0,13,0,0.6,0.6666667,1.0,5,0,4,1,0,0,4,0,0,0,7,3,0,6,0,1,6,0,0,43,0,0,2,0,0,6,6,11,4,9,2,0,0,0,40,8,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\EmojiAltPhysicalKeyDetector.java,org.dslul.openboard.inputmethod.latin.EmojiAltPhysicalKeyDetector$EmojiHotKeys,innerclass,5,5,0,5,18,1,0,8,0,0.3125,0.5,0.5,4,0,3,0,1,0,4,1,0,0,4,0,0,2,0,2,2,0,0,64,0,0,0,0,0,14,0,13,7,8,4,0,0,0,32,1026,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\settings\SettingsValuesForSuggestion.java,org.dslul.openboard.inputmethod.latin.settings.SettingsValuesForSuggestion,class,0,11,11,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\FileTransforms.java,org.dslul.openboard.inputmethod.latin.utils.FileTransforms,class,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\AudioAndHapticFeedbackManager.java,org.dslul.openboard.inputmethod.latin.AudioAndHapticFeedbackManager,class,6,15,9,6,26,1,0,11,36,0.73333335,0.1388889,0.1388889,12,2,9,3,0,0,9,0,0,0,5,1,0,5,0,0,1,0,0,81,9,0,7,0,0,0,1,10,0,6,1,0,0,0,61,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\SubtypeLocaleUtils.java,org.dslul.openboard.inputmethod.latin.utils.SubtypeLocaleUtils,class,10,23,13,10,40,1,0,36,134,0.90999997,0.054945055,0.10989011,20,19,14,6,0,0,14,0,1,0,20,20,4,15,0,1,18,0,22,202,24,4,6,0,0,15,7,70,12,63,2,2,0,0,100,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\Suggest.java,org.dslul.openboard.inputmethod.latin.Suggest$OnGetSuggestedWordsCallback,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\tools\make-keyboard-text\src\main\java\com\android\inputmethod\keyboard\tools\StringResourceMap.java,com.android.inputmethod.keyboard.tools.StringResourceMap,class,6,7,1,6,11,3,0,16,5,0.6666667,0.33333334,0.46666667,6,0,6,0,0,0,6,0,0,0,4,0,1,3,0,0,3,0,5,97,4,1,0,1,0,3,0,9,1,9,1,0,1,0,45,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\common\ResizableIntArray.java,org.dslul.openboard.inputmethod.latin.common.ResizableIntArray,class,4,9,5,4,28,1,0,9,0,0.21875,0.83516484,0.85714287,16,0,14,2,0,0,14,0,0,0,2,0,0,2,0,0,0,0,5,103,7,1,2,0,0,7,15,25,9,12,2,0,0,0,66,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\LatinIME.java,org.dslul.openboard.inputmethod.latin.LatinIME$Anonymous1,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,-1,0
